B1NN=Cc2ccccc21 aaa
C1=CN2C[n+]3ccc4ccccc4c3N=C2c2ccccc21 agO
C1=CN2Cc3ccccc3N=C2S1 agP
C1=CN2N=CNC2N=C1 agQ
C1=CN2NC3(CCCCC3)NN=C2S1 agR
C1=CN2NC=CN=C2C=N1 agS
C1=CN2c3ccccc3C34CCN5CC6=CCOC1C(C6CC53)C24 agT
C1=CN2c3ccccc3C3CCN4CCCC1C4C32 agU
C1=CN2c3sccc3N=CC2N1 agV
C1=CN=C2NC=CCC2C1 agW
C1=CN=CC1 agX
C1=CN=CCC1 agY
C1=CN=CNC1 agZ
C1=CN=CSC1 aha
C1=CN=S=N1 ahb
C1=CNC(=C2C=CC=CN2)C=C1 ahc
C1=CNC2C=CC=CC2=C1 ahd
C1=CNC2ON=CC2C1 ahe
C1=CNC=CC1 ahf
C1=CNC=CN1 ahg
C1=CNCC1 ahh
C1=CNCC=N1 ahi
C1=CNCCC1 ahj
C1=CNCCN1 ahk
C1=CNCCN=C1 ahl
C1=CNCN1 ahm
C1=CNCN=C1 ahn
C1=CNN2C=Nc3[nH]ccc3C2=N1 aho
C1=CNNC1 ahp
C1=CNNC=C1 ahq
C1=CNNC=N1 ahr
C1=CNNN1 ahs
C1=CNc2ccc3ccccc3c2C1 aht
C1=CNc2ccccc2C1 ahu
C1=CNc2ccccc2C=[N+]1 ahv
C1=CNc2ccccc2N1 ahw
C1=CNc2ccccc2N=C1 ahx
C1=CNc2ncnn2C1 ahy
C1=COC2=CCCCC2=C1 ahz
C1=COC=CN1 ahA
C1=COCC1 ahB
C1=COCCC1 ahC
C1=COCCO1 ahD
C1=COCN1 ahE
C1=CONC1 ahF
C1=CONN1 ahG
C1=COc2cc3ccccc3nc2C1 ahH
C1=COc2ccc3ccccc3c2C1 ahI
C1=COc2ccccc2C1 ahJ
C1=COc2ccccc2N1 ahK
C1=COc2ccccc2O1 ahL
C1=COc2ccccc2OC1 ahM
C1=COc2cccnc2N1 ahN
C1=CPC1 ahO
C1=CSC2(N1)NN=CS2 ahP
C1=CSC=CN=C1 ahQ
C1=CSC=CS1 ahR
C1=CSC=NN1 ahS
C1=CSCC1 ahT
C1=CSCCN1 ahU
C1=CSCCO1 ahV
C1=CSCCS1 ahW
C1=CSNN1 ahX
C1=CSc2ccccc2N1 ahY
C1=CSc2ccccc2O1 ahZ
C1=CSc2nncn2N1 aia
C1=CSc2nncn2N=C1 aib
C1=CSc2nncn2NC1 aic
C1=C[N+]2=CC=NC2C=N1 aid
C1=C[N+]2CCC1CC2 aie
C1=C[N+]=N1 aif
C1=C[N+]C=N1 aig
C1=C[P+]C=CO1 aih
C1=C[P+]CC1 aii
C1=C[P+]c2ccccc2O1 aij
C1=C[SH]C=C1 aik
C1=Cc2c([nH]c3ccccc23)C=Cc2c1[nH]c1ccccc21 ail
C1=Cc2c([nH]c3ccccc23)CN1 aim
C1=Cc2c(c3ccccc3c3nc[nH]c23)CC1 ain
C1=Cc2c(ccc3c2CCC3)C1 aio
C1=Cc2c(ccc3ccccc23)CC1 aip
C1=Cc2c(ccc3ccccc23)Nc2ccccc21 aiq
C1=Cc2c(ccc3ccccc23)OC1 air
C1=Cc2c(ccc3occc23)OC1 ais
C1=Cc2c(cnc3ncncc23)CN1 ait
C1=Cc2cc3[nH]c4ccccc4c3cc2CN1 aiu
C1=Cc2cc3c(cc2C1)CC1(C3)Cc2cc3c(cc2C1)CCC3 aiv
C1=Cc2cc3ccc(cc4ccc(cc5nc(cc1n2)C=C5)[nH]4)[nH]3 aiw
C1=Cc2cc3ccc(cc4ccc(cc5nc(cc1n2)CC5)[nH]4)[nH]3 aix
C1=Cc2cc3ccc(cc4nc(cc5ccc(cc1n2)[n-]5)C=C4)[n-]3 aiy
C1=Cc2cc3ccc(cc4nc(cc5ccc(cc1n2)[nH]5)C=C4)[nH]3 aiz
C1=Cc2cc3ccccc3nc2CC1 aiA
C1=Cc2cc3ccoc3cc2NCC1 aiB
C1=Cc2ccc(cc2)N=Nc2ccc(cc2)C=Cc2ccc(cc2)N=Nc2ccc1cc2 aiC
C1=Cc2ccc3cccc4c3c2C(=CC4)C1 aiD
C1=Cc2ccc3ccccc3c2CC1 aiE
C1=Cc2cccc3c2C(Cc2ccccc2-3)N1 aiF
C1=Cc2cccc3cccc1c23 aiG
C1=Cc2cccc3ccn(c23)C1 aiH
C1=Cc2cccc[n+]2C1 aiI
C1=Cc2ccccc2-c2cc3ccccc3n2C1 aiJ
C1=Cc2ccccc2-c2ccccc2C1 aiK
C1=Cc2ccccc2-c2nc3ccccc3c2O1 aiL
C1=Cc2ccccc2C(=C2CCNCC2)c2ccccc21 aiM
C1=Cc2ccccc2C1 aiN
C1=Cc2ccccc2C=NN1 aiO
C1=Cc2ccccc2CC1 aiP
C1=Cc2ccccc2CCC1 aiQ
C1=Cc2ccccc2CN1 aiR
C1=Cc2ccccc2Cc2ccccc21 aiS
C1=Cc2ccccc2N2CCN=C12 aiT
C1=Cc2ccccc2N=CC1 aiU
C1=Cc2ccccc2NC1 aiV
C1=Cc2ccccc2NCC1 aiW
C1=Cc2ccccc2NCc2ccccc21 aiX
C1=Cc2ccccc2Nc2ccccc21 aiY
C1=Cc2ccccc2OC1 aiZ
C1=Cc2ccccc2OC=N1 aja
C1=Cc2ccccc2OCC1 ajb
C1=Cc2ccccc2Oc2ccccc21 ajc
C1=Cc2ccccc2SC1 ajd
C1=Cc2ccccc2Sc2ccccc21 aje
C1=Cc2ccccc2[S+]C1 ajf
C1=Cc2cccn2-c2ccccc2S1 ajg
C1=Cc2cccn2-c2ccccc2[S+]1 ajh
C1=Cc2cccnc2-c2cc3ccccc3n2C1 aji
C1=Cc2cccnc2CC1 ajj
C1=Cc2ccncc2Nc2ccccc21 ajk
C1=Cc2ccsc2C2(CCNCC2)O1 ajl
C1=Cc2cncnc2C1 ajm
C1=Cc2cnnc2CC1 ajn
C1=Cc2cscc2CC1 ajo
C1=Cc2n[n+]3ccccc3nc2N[N-]1 ajp
C1=Cc2nc3c(cc[n+]4ncccc34)c2CC1 ajq
C1=Cc2nc3c4ccccc4ccc3n2CC1 ajr
C1=Cc2nc3cc4ccccc4cc3n2CC1 ajs
C1=Cc2nc3ccc4ccccc4c3n2CC1 ajt
C1=Cc2nc3ccccc3cc2C1 aju
C1=Cc2nc3ccccc3n2CC1 ajv
C1=Cc2nc3ccccc3nc21 ajw
C1=Cc2nc3cccnc3n2CC1 ajx
C1=Cc2nc3cnccc3n2CC1 ajy
C1=Cc2nc3ncccc3n2CC1 ajz
C1=Cc2nc[nH]c2CC1 ajA
C1=Cc2nccc3cccc(c23)N1 ajB
C1=Cc2ncccc2Cc2ccccc21 ajC
C1=Cc2ncnc2CN1 ajD
C1=Cc2nncc2C2(CCNCC2)O1 ajE
C1=Cc2nnnc2CN1 ajF
C1=Cc2sccc2C2(CCNCC2)O1 ajG
C1=Cc2sccc2CC1 ajH
C1=Cn2c(nc3ccccc32)N=CC1 ajI
C1=Cn2c(nc3ccccc32)NN=C1 ajJ
C1=Cn2c3c(c4ccccc42)CCN2CCCC1C32 ajK
C1=Cn2nccc2NC1=C1CC1 ajL
C1=NC1 ajM
C1=NC2(CC3(CCCOC3)Oc3ccccc32)N=C1 ajN
C1=NC2(CC3(CCOCC3)c3ccccc32)ON1 ajO
C1=NC2(CCCC2)CN1 ajP
C1=NC2(CCCC2)Cc2ccccc21 ajQ
C1=NC2(CCCC2)N=C1 ajR
C1=NC2(CCCC2)Nc2ccccc21 ajS
C1=NC2(CCCCC2)Cc2ccccc21 ajT
C1=NC2(CCCCC2)N=C1 ajU
C1=NC2(CCCCC2)NN1 ajV
C1=NC2(CCCCC2)n2c(nc3ccccc32)N1 ajW
C1=NC2(CCCCCC2)N=C1 ajX
C1=NC2(CCCCCC2)NN1 ajY
C1=NC2(CCCc3ccccc32)N=C1 ajZ
C1=NC2(CCNCC2)CO1 aka
C1=NC2(CCNCC2)N=C1 akb
C1=NC2(CCNCC2)n2c(nc3ccccc32)N1 akc
C1=NC2(CCO1)c1ccccc1Oc1ccccc12 akd
C1=NC2(CCO1)c1ccccc1Oc1cnccc12 ake
C1=NC2(CCO1)c1ccccc1Oc1ncccc12 akf
C1=NC2(CCOc3ccccc32)N=C1 akg
C1=NC2(CCS1)c1ccccc1CC21CCc2ccccc2CC1 akh
C1=NC2(CCS1)c1ccccc1Oc1ccccc12 aki
C1=NC2(CCS1)c1ccccc1Oc1cnccc12 akj
C1=NC2(CCc3ccccc3C2)CN1 akk
C1=NC2(CCc3ccccc3C2)CO1 akl
C1=NC2(CO1)CN1CCC2CC1 akm
C1=NC2(CO1)c1ccccc1OC1(CCC1)C21COC1 akn
C1=NC2(CO1)c1ccccc1OC1(CCCC1)C21COC1 ako
C1=NC2(CO1)c1ccccc1OC1CCOCC12 akp
C1=NC2(CO1)c1ccccc1OCC21CC1 akq
C1=NC2(CO1)c1ccccc1OCC21CCC1 akr
C1=NC2(CO1)c1ccccc1OCC21CCCO1 aks
C1=NC2(CO1)c1ccccc1OCC21COC1 akt
C1=NC2(CO1)c1ccccc1Oc1ccccc12 aku
C1=NC2(COC1)c1ccccc1OCC21CC1 akv
C1=NC2(COC1)c1ccccc1OCC21COC1 akw
C1=NC2(CS1)c1ccccc1OC1CCOCC12 akx
C1=NC2(CS1)c1ccccc1OCC21COC1 aky
C1=NC2(N=C1)c1ccccc1CC21CC1 akz
C1=NC2(N=C1)c1ccccc1CC21CCC1 akA
C1=NC2(N=C1)c1ccccc1CC21CCOCC1 akB
C1=NC2(ON1)c1ccccc1CC21CCCC1 akC
C1=NC2(ON1)c1ccccc1CC21CCCCC1 akD
C1=NC2(ON1)c1ccccc1CC21CCCc2ccccc2C1 akE
C1=NC2(ON1)c1ccccc1CC21CCOCC1 akF
C1=NC2(ON1)c1ccccc1CC21CCOc2ccccc2C1 akG
C1=NC2(ON1)c1ccccc1CC21CCc2ccccc2C1 akH
C1=NC2(ON1)c1ccccc1CC21CCc2ccccc2CC1 akI
C1=NC2(ON1)c1ccccc1CC21CCc2cnncc2CC1 akJ
C1=NC2(ON1)c1ccccc1CC21CCc2nncc2C1 akK
C1=NC2(ON1)c1ccccc1CC21CCc2nocc2C1 akL
C1=NC2(ON1)c1ccccc1CC21CCc2oncc2C1 akM
C1=NC2(ON1)c1ccccc1CC21Cc2cccc3cccc(c23)C1 akN
C1=NC2(ON1)c1ccccc1CC21Cc2ccccc2C1 akO
C1=NC2(ON1)c1ccccc1CC21Cc2cnncc2C1 akP
C1=NC2(ON1)c1ccccc1CCC21CCc2ccccc2C1 akQ
C1=NC2(ON1)c1ccccc1CCC21CCc2ccccc2CC1 akR
C1=NC2(ON1)c1ccccc1OC21CCc2ccccc2CC1 akS
C1=NC2(c3ccccc31)c1ccccc1OCC21CC1 akT
C1=NC2(c3ccccc3O1)C1CC3CC(C1)CC2C3 akU
C1=NC2=Nc3ccccc3CN2C1 akV
C1=NC2=S(S1)SC=N2 akW
C1=NC2C=C3CCNCCC3=CC2O1 akX
C1=NC2CC(N1)Oc1ccccc12 akY
C1=NC2CCCCC2N1 akZ
C1=NC2CCCCC2O1 ala
C1=NC2CCCc3c2n(c2ccccc32)C1 alb
C1=NC2CCNCC2S1 alc
C1=NC2COCCC2CS1 ald
