B aaa
C1#CC2CCC3CCC4CCCC5CCC2C3(CCCC1)C45 adM
C1#CC2CCC3CCCOC4C=COC(C1)C4OCCCCc1ccc3c2c1 adN
C1#CC2CCC3OC2C24CC3CCC2=c2cc[nH]c2=C(CCC1)O4 adO
C1#CC2CCC3OCCCC(CCCC1)COCC2O3 adP
C1#CC2CCC=CC23C2C=CCC4C5CCC(CC1)C5C3CCC42 adQ
C1#CC2CCC=CC23CC2CCC3C3C(CC1)CCC3C2 adR
C1#CC2CCC=CC23CCCC2CCC(CC1)C2C3 adS
C1#CC2CCC=CCC(C1)c1cccc3c1C(CNC3)NCCCCc1cccc(c1)CC2 adT
C1#CC2CCCC(CCC1)CC2 adU
C1#CC2CCCC(CCCCC1)C2 adV
C1#CC2CCCC(OCC3(C1)CCCCO3)O2 adW
C1#CC2CCCC(OCCC1)O2 adX
C1#CC2CCCC23CCCC2=CC=C(CCC1)CC23 adY
C1#CC2CCCC23CCCC2CC=C4CCCC(CCCCC1)C4C23 adZ
C1#CC2CCCC23CNCC3CC2CCCC3CCC4CC=CC1C4C32 aea
C1#CC2CCCC3(CC=CC=C3C1)CCCCCCCn1cc3cccc(c3c1)NC1=CC(=CCN1)C2 aeb
C1#CC2CCCC3(CCC4(CCC(C1)C4)C3)C2 aec
C1#CC2CCCC34CNCCc5cccc(c5)CCNCNCC1CCCCCC2Cc1cccc(c1)OC(CCN3)C4 aed
C1#CC2CCCC34OC23CCNC4C#CC=C1 aee
C1#CC2CCCC3=CCC(C=C3)CC(CCCCc3cccc(c3)OCc3ccc4c2ccc2c4c3C=CC2)O1 aef
C1#CC2CCCC3C(C#CC=C1)N=C1C=CCC=C1C23 aeg
C1#CC2CCCC3C(C#CC=C1)NC1C=CCC=C1C23 aeh
C1#CC2CCCC3C(C#CC=C1)NCCC23 aei
C1#CC2CCCC3CC(CCN3)Oc3cccc(c3)CC2CCCCCC1 aej
C1#CC2CCCC3CC4CCCCC5CC6(CCC(CC1)C6)CC(C23)C45 aek
C1#CC2CCCC3CCC4C5CCC=C5C(CNCC1)CC4C23 ael
C1#CC2CCCCC2C2C=CC(CCCCC1)CC2 aem
C1#CC2CCCCC2C2CCCC3C(C1)OCCC32 aen
C1#CC2CCCCC=CC(CC2)NCCC1 aeo
C1#CC2CCCCCC2CCCCCC=CC1 aep
C1#CC2CCCCCC2CCCCCCCC1 aeq
C1#CC2CCCCCCCc3cccc(c3)Cc3ccc(c(c3)C[C-]3C=CNC3=N2)CCC1 aer
C1#CC2CCCCCCCc3cccc(c3)Cc3ccc(c(c3)C[CH-]CN2)CCC1 aes
C1#CC2CCCCCCCc3cccc(c3)Cc3ccc(c(c3)Cc3cc[nH]c3N2)CCC1 aet
C1#CC2CCCCCCCc3cccc(c3)Cc3ccc4c(c3)C(C=CC4CC1)[CH-]C=N2 aeu
C1#CC2CCCCCCCc3cccc(c3)Cc3ccc4c(c3)C(C=CC4CC1)[CH-]CN2 aev
C1#CC2CCCCCCCc3cccc(c3)Cc3ccc4c(c3)C(C=CC4CC1)c1cc[nH]c1N2 aew
C1#CC2CCCCCCNC3CC(C1)NC(Cc1cccc(c1)CCC2)C3 aex
C1#CC2CCCCc3cccc(c3)OC3CCNC(CNCC1)(C2)C3 aey
C1#CC2CCCNC23CCCCC3OC2CCOC3=C2C=C(CC3)OC1 aez
C1#CC2CCNc3cccc(c3C2)OC2CC(C1)CC1(CCCCCOC1)O2 aeA
C1#CC2CCNc3cccc(c3C2)OC2CC(C1)CCO2 aeB
C1#CC2CCOc3c2cc(cc3C2CCCCC2)CC2OCC(=CCCc3cccc(c3)CC3CCC4C=CC5CCC2C4C53)CC1 aeC
C1#CC2CCOc3c2cc(cc3C2CCCCC2)CC2OCC(=CCCc3cccc(c3)CC3CCC4CCC5CCC2C4C53)CC1 aeD
C1#CC2CCOc3ccc(cc32)CC(C2CCC3CCC4CCCC3C42)OCCCC1 aeE
